[2025-12-26T18:32:37.222198] Starting job words_20251226-183237
▶ Infinite mode started | model=gemma2:2b level=A1 batch=50 ask/call=100
   Press Ctrl+C to stop.

✅ Call #99: got=10 added=0 | batch=41/50
✅ Call #100: got=10 added=0 | batch=41/50
✅ Call #101: got=10 added=0 | batch=41/50
✅ Call #102: got=10 added=0 | batch=41/50
✅ Call #103: got=10 added=0 | batch=41/50
✅ Call #104: got=10 added=0 | batch=41/50
✅ Call #105: got=10 added=0 | batch=41/50
✅ Call #106: got=10 added=0 | batch=41/50
✅ Call #107: got=10 added=0 | batch=41/50
✅ Call #108: got=10 added=0 | batch=41/50
✅ Call #109: got=10 added=0 | batch=41/50
✅ Call #110: got=10 added=1 | batch=42/50
✅ Call #111: got=10 added=0 | batch=42/50
✅ Call #112: got=10 added=1 | batch=43/50
✅ Call #113: got=11 added=0 | batch=43/50
✅ Call #114: got=11 added=0 | batch=43/50
✅ Call #115: got=0 added=0 | batch=43/50
✅ Call #116: got=35 added=3 | batch=46/50
✅ Call #117: got=10 added=0 | batch=46/50
✅ Call #118: got=10 added=0 | batch=46/50
✅ Call #119: got=10 added=0 | batch=46/50
✅ Call #120: got=10 added=0 | batch=46/50
✅ Call #121: got=10 added=0 | batch=46/50
✅ Call #122: got=10 added=0 | batch=46/50
✅ Call #123: got=10 added=0 | batch=46/50
✅ Call #124: got=10 added=0 | batch=46/50
✅ Call #125: got=10 added=0 | batch=46/50
✅ Call #126: got=10 added=0 | batch=46/50
✅ Call #127: got=10 added=0 | batch=46/50
✅ Call #128: got=10 added=0 | batch=46/50
✅ Call #129: got=10 added=0 | batch=46/50
✅ Call #130: got=10 added=0 | batch=46/50
✅ Call #131: got=10 added=0 | batch=46/50
✅ Call #132: got=10 added=0 | batch=46/50
✅ Call #133: got=10 added=0 | batch=46/50
✅ Call #134: got=11 added=0 | batch=46/50
✅ Call #135: got=10 added=0 | batch=46/50
✅ Call #136: got=10 added=0 | batch=46/50
✅ Call #137: got=10 added=0 | batch=46/50
